Unnamed: 0,filename,latitude,longitude,in_bw,in_ostalbkreis
0,2019-01-01_bme280_sensor_10720.csv,58.387,15.559000000000001,False,False
0,2019-01-01_bme280_sensor_1073.csv,50.086999999999996,8.634,False,False
0,2019-01-01_bme280_sensor_10732.csv,42.685,23.243000000000002,False,False
0,2019-01-01_bme280_sensor_10792.csv,42.538999999999994,23.500999999999998,False,False
0,2019-01-01_bme280_sensor_10796.csv,42.994,23.372,False,False
0,2019-01-01_bme280_sensor_10798.csv,42.674,23.289,False,False
0,2019-01-01_bme280_sensor_10806.csv,53.224,6.0,False,False
0,2019-01-01_bme280_sensor_10820.csv,42.606,23.355999999999998,False,False
0,2019-01-01_bme280_sensor_10832.csv,48.573,8.767000000000001,True,False
0,2019-01-01_bme280_sensor_10840.csv,42.706,23.32800000000001,False,False
0,2019-01-01_bme280_sensor_10852.csv,52.045,6.313,False,False
